-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                        CPU time        CUDA time            Calls        CPU total       CUDA total
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
SetItem                                     61.830us          0.000us                1         61.830us          0.000us
mm                                          61.359us          0.000us                1         61.359us          0.000us
cat                                         60.914us          0.000us                1         60.914us          0.000us
AddmmBackward                               60.469us          0.000us                1         60.469us          0.000us
IndexBackward                               59.587us          0.000us                1         59.587us          0.000us
add                                         59.389us          0.000us                1         59.389us          0.000us
sigmoid                                     58.491us          0.000us                1         58.491us          0.000us
sigmoid                                     58.413us          0.000us                1         58.413us          0.000us
mm                                          57.782us          0.000us                1         57.782us          0.000us
AddmmBackward                               56.618us          0.000us                1         56.618us          0.000us
IndexBackward                               56.022us          0.000us                1         56.022us          0.000us
sigmoid                                     55.592us          0.000us                1         55.592us          0.000us
IndexBackward                               55.283us          0.000us                1         55.283us          0.000us
addmm                                       55.212us          0.000us                1         55.212us          0.000us
AddmmBackward                               54.070us          0.000us                1         54.070us          0.000us
IndexBackward                               54.024us          0.000us                1         54.024us          0.000us
sigmoid                                     52.774us          0.000us                1         52.774us          0.000us
mm                                          51.989us          0.000us                1         51.989us          0.000us
mm                                          51.840us          0.000us                1         51.840us          0.000us
mm                                          51.822us          0.000us                1         51.822us          0.000us
mm                                          51.607us          0.000us                1         51.607us          0.000us
IndexBackward                               51.551us          0.000us                1         51.551us          0.000us
sigmoid                                     51.532us          0.000us                1         51.532us          0.000us
sigmoid                                     51.452us          0.000us                1         51.452us          0.000us
mm                                          51.037us          0.000us                1         51.037us          0.000us
sigmoid                                     50.892us          0.000us                1         50.892us          0.000us
sigmoid                                     50.690us          0.000us                1         50.690us          0.000us
mm                                          50.570us          0.000us                1         50.570us          0.000us
IndexBackward                               50.411us          0.000us                1         50.411us          0.000us
mm                                          50.361us          0.000us                1         50.361us          0.000us
AddmmBackward                               50.307us          0.000us                1         50.307us          0.000us
tanh                                        49.871us          0.000us                1         49.871us          0.000us
nll_loss                                    49.783us          0.000us                1         49.783us          0.000us
mm                                          49.704us          0.000us                1         49.704us          0.000us
AddmmBackward                               49.508us          0.000us                1         49.508us          0.000us
mm                                          49.166us          0.000us                1         49.166us          0.000us
addmm                                       49.129us          0.000us                1         49.129us          0.000us
mm                                          49.092us          0.000us                1         49.092us          0.000us
sigmoid                                     48.990us          0.000us                1         48.990us          0.000us
mm                                          48.849us          0.000us                1         48.849us          0.000us
mm                                          48.801us          0.000us                1         48.801us          0.000us
IndexBackward                               48.718us          0.000us                1         48.718us          0.000us
addmm                                       48.318us          0.000us                1         48.318us          0.000us
mm                                          47.725us          0.000us                1         47.725us          0.000us
addmm                                       47.656us          0.000us                1         47.656us          0.000us
mm                                          47.581us          0.000us                1         47.581us          0.000us
mm                                          47.509us          0.000us                1         47.509us          0.000us
mm                                          47.225us          0.000us                1         47.225us          0.000us
tanh                                        47.200us          0.000us                1         47.200us          0.000us
tanh                                        47.189us          0.000us                1         47.189us          0.000us
tanh                                        47.154us          0.000us                1         47.154us          0.000us
sigmoid                                     47.001us          0.000us                1         47.001us          0.000us
mm                                          46.962us          0.000us                1         46.962us          0.000us
Index                                       46.738us          0.000us                1         46.738us          0.000us
mm                                          46.672us          0.000us                1         46.672us          0.000us
TanhBackward0                               46.418us          0.000us                1         46.418us          0.000us
mm                                          46.400us          0.000us                1         46.400us          0.000us
mm                                          46.314us          0.000us                1         46.314us          0.000us
mm                                          46.205us          0.000us                1         46.205us          0.000us
mm                                          46.115us          0.000us                1         46.115us          0.000us
mm                                          45.936us          0.000us                1         45.936us          0.000us
mm                                          45.906us          0.000us                1         45.906us          0.000us
mm                                          45.843us          0.000us                1         45.843us          0.000us
mm                                          45.807us          0.000us                1         45.807us          0.000us
mm                                          45.700us          0.000us                1         45.700us          0.000us
_tanh_backward                              45.283us          0.000us                1         45.283us          0.000us
mm                                          45.217us          0.000us                1         45.217us          0.000us
mm                                          45.069us          0.000us                1         45.069us          0.000us
sigmoid                                     44.905us          0.000us                1         44.905us          0.000us
addmm                                       44.409us          0.000us                1         44.409us          0.000us
mm                                          44.204us          0.000us                1         44.204us          0.000us
mm                                          44.058us          0.000us                1         44.058us          0.000us
mm                                          43.999us          0.000us                1         43.999us          0.000us
mm                                          43.961us          0.000us                1         43.961us          0.000us
sigmoid                                     43.789us          0.000us                1         43.789us          0.000us
mm                                          43.613us          0.000us                1         43.613us          0.000us
mm                                          43.608us          0.000us                1         43.608us          0.000us
mm                                          43.590us          0.000us                1         43.590us          0.000us
mm                                          43.503us          0.000us                1         43.503us          0.000us
IndexBackward                               43.405us          0.000us                1         43.405us          0.000us
mm                                          43.400us          0.000us                1         43.400us          0.000us
mm                                          43.330us          0.000us                1         43.330us          0.000us
mm                                          43.286us          0.000us                1         43.286us          0.000us
mm                                          43.159us          0.000us                1         43.159us          0.000us
addmm                                       43.115us          0.000us                1         43.115us          0.000us
mm                                          43.100us          0.000us                1         43.100us          0.000us
Index                                       43.041us          0.000us                1         43.041us          0.000us
mm                                          42.853us          0.000us                1         42.853us          0.000us
mm                                          42.830us          0.000us                1         42.830us          0.000us
mm                                          42.747us          0.000us                1         42.747us          0.000us
mm                                          42.693us          0.000us                1         42.693us          0.000us
sigmoid                                     42.610us          0.000us                1         42.610us          0.000us
IndexBackward                               42.524us          0.000us                1         42.524us          0.000us
sigmoid                                     42.419us          0.000us                1         42.419us          0.000us
sigmoid                                     42.239us          0.000us                1         42.239us          0.000us
mm                                          42.060us          0.000us                1         42.060us          0.000us
mm                                          42.019us          0.000us                1         42.019us          0.000us
sigmoid                                     42.009us          0.000us                1         42.009us          0.000us
mm                                          41.984us          0.000us                1         41.984us          0.000us
IndexBackward                               41.976us          0.000us                1         41.976us          0.000us
addmm                                       41.953us          0.000us                1         41.953us          0.000us
IndexBackward                               41.884us          0.000us                1         41.884us          0.000us
mm                                          41.846us          0.000us                1         41.846us          0.000us
mm                                          41.639us          0.000us                1         41.639us          0.000us
cat                                         41.610us          0.000us                1         41.610us          0.000us
mm                                          41.577us          0.000us                1         41.577us          0.000us
SplitBackward                               41.463us          0.000us                1         41.463us          0.000us
IndexBackward                               41.094us          0.000us                1         41.094us          0.000us
sigmoid                                     41.082us          0.000us                1         41.082us          0.000us
IndexBackward                               41.032us          0.000us                1         41.032us          0.000us
mm                                          40.993us          0.000us                1         40.993us          0.000us
sigmoid                                     40.830us          0.000us                1         40.830us          0.000us
IndexBackward                               40.550us          0.000us                1         40.550us          0.000us
IndexBackward                               40.310us          0.000us                1         40.310us          0.000us
torch::autograd::Add                        40.301us          0.000us                1         40.301us          0.000us
IndexBackward                               40.292us          0.000us                1         40.292us          0.000us
SplitBackward                               40.232us          0.000us                1         40.232us          0.000us
IndexBackward                               40.213us          0.000us                1         40.213us          0.000us
IndexBackward                               39.889us          0.000us                1         39.889us          0.000us
sigmoid                                     39.749us          0.000us                1         39.749us          0.000us
torch::autograd::Add                        39.590us          0.000us                1         39.590us          0.000us
sigmoid                                     39.443us          0.000us                1         39.443us          0.000us
cat                                         39.235us          0.000us                1         39.235us          0.000us
mm                                          38.980us          0.000us                1         38.980us          0.000us
IndexBackward                               38.979us          0.000us                1         38.979us          0.000us
addmm                                       38.952us          0.000us                1         38.952us          0.000us
sigmoid                                     38.930us          0.000us                1         38.930us          0.000us
mm                                          38.809us          0.000us                1         38.809us          0.000us
sigmoid                                     38.751us          0.000us                1         38.751us          0.000us
IndexBackward                               38.606us          0.000us                1         38.606us          0.000us
SetItem                                     38.556us          0.000us                1         38.556us          0.000us
sigmoid                                     38.451us          0.000us                1         38.451us          0.000us
cat                                         38.365us          0.000us                1         38.365us          0.000us
cat                                         38.250us          0.000us                1         38.250us          0.000us
sigmoid                                     38.210us          0.000us                1         38.210us          0.000us
tanh                                        38.148us          0.000us                1         38.148us          0.000us
TanhBackward0                               38.047us          0.000us                1         38.047us          0.000us
TanhBackward0                               38.031us          0.000us                1         38.031us          0.000us
tanh                                        37.978us          0.000us                1         37.978us          0.000us
TanhBackward0                               37.799us          0.000us                1         37.799us          0.000us
mm                                          37.789us          0.000us                1         37.789us          0.000us
IndexBackward                               37.713us          0.000us                1         37.713us          0.000us
tanh                                        37.690us          0.000us                1         37.690us          0.000us
TanhBackward0                               37.626us          0.000us                1         37.626us          0.000us
Index                                       37.539us          0.000us                1         37.539us          0.000us
IndexBackward                               37.437us          0.000us                1         37.437us          0.000us
TanhBackward0                               37.352us          0.000us                1         37.352us          0.000us
TanhBackward0                               37.347us          0.000us                1         37.347us          0.000us
sigmoid                                     37.331us          0.000us                1         37.331us          0.000us
IndexBackward                               37.260us          0.000us                1         37.260us          0.000us
cat                                         37.231us          0.000us                1         37.231us          0.000us
TanhBackward0                               37.220us          0.000us                1         37.220us          0.000us
IndexBackward                               37.023us          0.000us                1         37.023us          0.000us
TanhBackward0                               36.998us          0.000us                1         36.998us          0.000us
sigmoid                                     36.910us          0.000us                1         36.910us          0.000us
TanhBackward0                               36.809us          0.000us                1         36.809us          0.000us
mm                                          36.802us          0.000us                1         36.802us          0.000us
_tanh_backward                              36.629us          0.000us                1         36.629us          0.000us
tanh                                        36.608us          0.000us                1         36.608us          0.000us
mm                                          36.593us          0.000us                1         36.593us          0.000us
IndexBackward                               36.544us          0.000us                1         36.544us          0.000us
tanh                                        36.511us          0.000us                1         36.511us          0.000us
_tanh_backward                              36.420us          0.000us                1         36.420us          0.000us
SetItem                                     36.412us          0.000us                1         36.412us          0.000us
_tanh_backward                              36.362us          0.000us                1         36.362us          0.000us
mm                                          36.353us          0.000us                1         36.353us          0.000us
cat                                         36.258us          0.000us                1         36.258us          0.000us
_tanh_backward                              36.228us          0.000us                1         36.228us          0.000us
IndexBackward                               36.222us          0.000us                1         36.222us          0.000us
_tanh_backward                              36.184us          0.000us                1         36.184us          0.000us
tanh                                        36.175us          0.000us                1         36.175us          0.000us
_tanh_backward                              36.007us          0.000us                1         36.007us          0.000us
_tanh_backward                              35.916us          0.000us                1         35.916us          0.000us
IndexBackward                               35.836us          0.000us                1         35.836us          0.000us
tanh                                        35.779us          0.000us                1         35.779us          0.000us
mm                                          35.777us          0.000us                1         35.777us          0.000us
tanh                                        35.750us          0.000us                1         35.750us          0.000us
_tanh_backward                              35.638us          0.000us                1         35.638us          0.000us
mm                                          35.627us          0.000us                1         35.627us          0.000us
_tanh_backward                              35.606us          0.000us                1         35.606us          0.000us
mm                                          35.559us          0.000us                1         35.559us          0.000us
IndexBackward                               35.539us          0.000us                1         35.539us          0.000us
mm                                          35.532us          0.000us                1         35.532us          0.000us
tanh                                        35.518us          0.000us                1         35.518us          0.000us
IndexBackward                               35.381us          0.000us                1         35.381us          0.000us
tanh                                        35.300us          0.000us                1         35.300us          0.000us
tanh                                        35.160us          0.000us                1         35.160us          0.000us
mm                                          35.148us          0.000us                1         35.148us          0.000us
mm                                          35.051us          0.000us                1         35.051us          0.000us
mm                                          34.928us          0.000us                1         34.928us          0.000us
IndexBackward                               34.828us          0.000us                1         34.828us          0.000us
sigmoid                                     34.828us          0.000us                1         34.828us          0.000us
IndexBackward                               34.752us          0.000us                1         34.752us          0.000us
IndexBackward                               34.436us          0.000us                1         34.436us          0.000us
SetItem                                     34.160us          0.000us                1         34.160us          0.000us
IndexBackward                               34.156us          0.000us                1         34.156us          0.000us
mm                                          33.866us          0.000us                1         33.866us          0.000us
sigmoid                                     33.846us          0.000us                1         33.846us          0.000us
IndexBackward                               33.370us          0.000us                1         33.370us          0.000us
SubBackward1                                33.252us          0.000us                1         33.252us          0.000us
IndexBackward                               33.081us          0.000us                1         33.081us          0.000us
IndexBackward                               33.048us          0.000us                1         33.048us          0.000us
mm                                          33.048us          0.000us                1         33.048us          0.000us
mm                                          32.094us          0.000us                1         32.094us          0.000us
mm                                          31.998us          0.000us                1         31.998us          0.000us
IndexBackward                               31.714us          0.000us                1         31.714us          0.000us
cat                                         31.654us          0.000us                1         31.654us          0.000us
IndexBackward                               31.617us          0.000us                1         31.617us          0.000us
mm                                          31.420us          0.000us                1         31.420us          0.000us
sigmoid                                     31.090us          0.000us                1         31.090us          0.000us
mm                                          31.038us          0.000us                1         31.038us          0.000us
sigmoid                                     30.868us          0.000us                1         30.868us          0.000us
SetItem                                     30.689us          0.000us                1         30.689us          0.000us
sigmoid                                     30.339us          0.000us                1         30.339us          0.000us
mm                                          30.106us          0.000us                1         30.106us          0.000us
mm                                          30.006us          0.000us                1         30.006us          0.000us
mm                                          29.663us          0.000us                1         29.663us          0.000us
Index                                       29.624us          0.000us                1         29.624us          0.000us
ViewBackward                                29.603us          0.000us                1         29.603us          0.000us
Index                                       29.439us          0.000us                1         29.439us          0.000us
mm                                          29.340us          0.000us                1         29.340us          0.000us
Index                                       29.322us          0.000us                1         29.322us          0.000us
SigmoidBackward0                            29.316us          0.000us                1         29.316us          0.000us
addmm                                       29.152us          0.000us                1         29.152us          0.000us
SetItem                                     29.134us          0.000us                1         29.134us          0.000us
IndexBackward                               29.008us          0.000us                1         29.008us          0.000us
addmm                                       28.428us          0.000us                1         28.428us          0.000us
mm                                          28.422us          0.000us                1         28.422us          0.000us
mm                                          28.188us          0.000us                1         28.188us          0.000us
IndexBackward                               28.179us          0.000us                1         28.179us          0.000us
IndexBackward                               28.150us          0.000us                1         28.150us          0.000us
addmm                                       27.851us          0.000us                1         27.851us          0.000us
mm                                          27.504us          0.000us                1         27.504us          0.000us
